open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,symbol
2021-11-22 01:00:00,3.781,5.8,1.05,5.179,11057300.2,2021-11-23 00:59:59,56049363.0378,180718,5611513.9,28537054.8028,TSLA
2021-11-23 01:00:00,5.179,5.818,4.688,4.907,4146464.9,2021-11-24 00:59:59,21475026.1736,69957,2083011.2,10781517.7706,TSLA
2021-11-24 01:00:00,4.906,4.927,4.18,4.354,1729492.5,2021-11-25 00:59:59,7741955.1285,24855,870766.2,3897096.3964,TSLA
2021-11-25 01:00:00,4.362,4.946,4.234,4.268,2094587.7,2021-11-26 00:59:59,9631339.2991,27137,1080292.3,4989969.1544,TSLA
2021-11-26 01:00:00,4.267,4.433,3.759,3.842,1341030.5,2021-11-27 00:59:59,5510112.992,15789,666347.1,2740107.676,TSLA
2021-11-27 01:00:00,3.833,4.023,3.719,3.793,709578.9,2021-11-28 00:59:59,2738647.8715,8835,340037.7,1312927.4907,TSLA
2021-11-28 01:00:00,3.796,4.257,3.551,3.926,1348560.6,2021-11-29 00:59:59,5267525.6505,21322,650219.6,2542879.4725,TSLA
2021-11-29 01:00:00,3.926,4.435,3.885,4.223,970045,2021-11-30 00:59:59,4054332.446,18207,485512.6,2028071.1124,TSLA
2021-11-30 01:00:00,4.215,4.77,3.852,4.633,2149068.7,2021-12-01 00:59:59,9142256.383,31233,1102946.4,4704466.831,TSLA
2021-12-01 01:00:00,4.631,5.499,4.579,4.762,8193602.4,2021-12-02 00:59:59,41466447.5767,137268,4019275,20368876.7999,TSLA
2021-12-02 01:00:00,4.754,5.082,4.547,4.581,1377252.5,2021-12-03 00:59:59,6572052.6263,24785,660117.1,3151806.4778,TSLA
2021-12-03 01:00:00,4.583,4.746,4.12,4.416,861383.2,2021-12-04 00:59:59,3813085.3078,14139,393532.4,1744902.3909,TSLA
2021-12-04 01:00:00,4.416,4.6,3.458,4.153,1618566.3,2021-12-05 00:59:59,6578923.6236,25662,804738.9,3287539.5421,TSLA
2021-12-05 01:00:00,4.156,4.6,3.802,3.961,998297.2,2021-12-06 00:59:59,4036519.2724,15879,466864.2,1895067.4461,TSLA
2021-12-06 01:00:00,3.951,4,3.6,3.908,651767.7,2021-12-07 00:59:59,2459215.0438,10432,294852.5,1115898.0009,TSLA
2021-12-07 01:00:00,3.907,4.094,3.695,3.856,706064.6,2021-12-08 00:59:59,2754864.949,9744,332737.3,1298549.1993,TSLA
2021-12-08 01:00:00,3.856,4.288,3.73,3.999,655007.8,2021-12-09 00:59:59,2627190.6764,12311,328740.4,1317541.0921,TSLA
2021-12-09 01:00:00,3.999,4.03,3.556,3.606,586453.5,2021-12-10 00:59:59,2207861.39,8024,264306,993026.7294,TSLA
2021-12-10 01:00:00,3.604,3.72,3.35,3.35,1099955.5,2021-12-11 00:59:59,3846792.5196000002,12077,526455.9,1842691.5099,TSLA
